Sentenza,Questioni Alessia,Questioni Piera,# questioni Alessia,# questioni Piera,# questioni intersezione
Sentenza_U09_10_2022.json,"se il gestore del deposito sia o meno responsabile in solido per l’IVA non versata dal cliente sulle estrazioni di carburante, quando il cliente ha optato per il regime derogatorio mediante prestazione di fideiussione ai sensi dell’art. 1, commi 940 e 941, l. 205/2017

se l’Amministrazione finanziaria possa determinare in via presuntiva la base imponibile IVA in mancanza di altra documentazione adeguata

Se l’atto di recupero IVA fosse emesso dall’ufficio territorialmente incompetente, risultando nullo 

Se la responsabilità solidale prevista dall’art. 1 c. 938 l. 205/2017 sia limitata alla sola imposta sul valore aggiunto e non possa estendersi anche a interessi e sanzioni per l’omesso versamento.

Se l’atto di recupero possa essere utilizzato per il recupero di IVA non correttamente liquidata, anziché esclusivamente per il recupero di crediti d’imposta indebitamente utilizzati, ovvero se si dovesse procedere mediante avviso di accertamento 

Se la mera allegazione di una presunta frode fiscale possa integrare ragioni di indifferibilità e urgenza ai fini dell’art. 157, co. 1, D.L. 34/2020 che consente la notifica anticipata degli atti impositivi","Se la prestazione di garanzia liberi il destinatario registrato di um deposito commerciale dall'obbligo di verificare l'avvenuto versamento dell'IVA da parte dell'estrattore

Quale sia la base imponibile cui applicare l'IVA per operazioni di sdoganamento di carburante in assenza di apposita contabilità ",6,2,2
Sentenza_U13_1015_2022.json,Se un distributore di benzina possa chiedere la restituzione del tributo IRBA considerato che il soggetto passivo del tributo è il consumatore finale,Se il soggetto erogatore della benzina abbia diritto a chiedere il rimborso dell'IRBA indebitamente versata e con esso sia titolare della legittimazione ad agire in giudizio anche in assenza di una previa resituzione delle somme ai consumatori finalli,1,1,1
Sentenza_U17_119_2022.json,"Se nel caso di specie, relativo a fatture per operazioni inesistenti, l'Amministrazione abbia adeguatamente provato l'inesistenza delle operazioni e il contribuente abbia offerto prova contraria

Se la mancata allegazione delle segnalazioni riguardanti le società cartiere, che inneschino l'emissione dell'avviso, comporti la nullità dello stesso","Se la documentazione contabile relativa a fatture contestate come inesiistenti e la prresentazione di foto di bancali di merrci non contestualizzate possano essere suffiicienti al ricorrente per provarre la propria estraneità a una frode IVA

Se la mancata allegazione della segnalazione relativa alle società che averbbero emesso fatture inesistenti, il cui contenuto sia però riportato nell'avviso di accertamento, rappersenti una violazione dell'art. 7 L. 212/2000, dell'art. 24 Cost e dell'art. 42 dPR 600/73",2,2,2
Sentenza_U91_485_2022.json,"Se per determinare in valore di una causa ai fini del versamento del contributo unificato, nel caso in cui l'intimazione di pagamento faccia riferimento a più cartelle precedenti non notificate, si debba tenere conto del valore indicato nell'intimazione di pagamento o della somma dei valori delle cartelle",Se il calcolo del Contributo Unificato Tributario debba avvenire solo sulla base del valorre dell'atto impugnato o anche degli atti presupposti se il loro contenuto sia oggetto di contestazione,1,1,1
Sentenza_U91_5452_2021.json,Se in presenza del solo PVC l'Amministrazione finanziaria possa sospendere il rimborso IVA sulla base di ragioni di tutela del proprio credito,Se in presenza del solo PVC l'Amministrazione finanziaria possa sospendere il rimborso IVA sulla base di ragioni di tutela del proprio credito,1,1,1
Sentenza_V06_822_2023.json,Se l'omessa notifica della comunicazione preventiva di iscrizione ipotecaria comporti la nullità della successiva iscrizione ipotecaria,Se sia legittima l'ipoteca iscritta senza il previo invio della comunicazione dell'avviso di tale iscrizione,1,1,1
Sentenza_V10_14727_2023.json,"Se, per considerare una notifica ricevuta dal familiare convivente validamente avvenuta, occorra comunque l'invio di una raccomandata informativa al destinatario dell'atto",Se ex art. 60 dpr 600/73 sia sufficiente la consgna di un avviso di accertamento nelle mani del coniuge convivente del soggetto destinatario per poter coonsiderare perfezionata la notifica,1,1,1
Sentenza_V10_8090_2023.json,Se nel caso di specie la notifica dell'avviso di accertamento e dell'ingiunzione di pagamento avessero interrotto il termine decadenziale triennale previsto per le tasse automobilistiche (cd. bollo auto),Se l'avviso notificato nell'ottoobre 2016 per la tassa di possesso di auto relativo all'anno 2013 sia notificato in termini,1,1,1
Sentenza_V12_962_2022.json,"Se il ricorso fosse avvenuto entro i termini, cioè 60 giorni dalla notifica dell'atto

Se, in caso di società estinta, sia corretto notificare l'avviso di accertamento al liquidatore 

Se sia legittimo applicare la tassazione per trasparenza al socio di una società a ristretta base che detenga una quota esigua di partecipazione

Nullità dell’atto opposto per difetto di sottoscrizione

Se l’avviso di accertamento impugnato fosse stato illegittimamente trasmesso al contribuente per via dell’insussistenza di concreti e validi presupposti di “indifferibilità ed urgenza” che legittimassero la notificare ","Se il ricorrente che eccepisca la tardiva notifica dell'avviso di accertamento debba darre prova dell'evento conoscitivo della pretesa tributaria enunciato nel ricorso

Se la notifica al liquidatore della società estinta sia valida

Se le violazioni statutarie in ordine allo scioglimento della società, la mancata partecipazione alla gestione o la ridotta entità della partecipazione precludano l'applicazione della presunzione di distribuzione per le società a ristretta base",5,3,3
Sentenza_V31_1512_2022.json,"Se la decadenza dal potere impositivo in caso di accertamento dei costi deducibili in più anni decorra dall’anno in cui viene effettuata la deduzione o dal momento dell'iscrizione dell’ammortamento in bilancio

Se le spese per l'acquisto di climatizzatori e per migliorie ai locali possano essere considerate inerenti all'attività professionale del contribuente nel caso di specie","Se i terrmini per la contestazione di una componente di rerddito ad efficacia pluriennale decorrano dall'annno di acquisto del bene o, per ogni quota, dall'anno di deduzione della singola quota

Se siano inerernti le spese per l'acquisto di climatzzatori e per migliorie relative allo studio professionale condotto in locazione all'epoca dei fatti ma destinato ad essere acquistato",2,2,2
Sentenza_V31_207_2021.json,Se un'intimazione di pagamento e una cartella relative al mancato pagamento di una rottamazione possano essere annullate in quanto emesse senza tenere conto del credito vantato in compensazione dal contribuente,Se il contribuente possa ottenere l'annullamento di un'intimazione di pagamento emessa a seguito del mancato pagamento del rateo della rottamazione snza considerare il credito vantato in compensazione dal contribuente,1,1,1
Sentenza_V31_2235_2021.json,Se il perfezionarsi della notifica per compiuta giacenza rende il ricorso notificato oltre 60 gg dalla compiuta giacenza inammissibile,Se il perfezionarsi della notifica per compiuta giacenza rende il ricorso notificato oltre 60 gg dalla compiuta giacenza inammissibile,1,1,1
Sentenza_V40_2713_2023.json,"Se l'avviso di accertamento fosse illegittimo per carenza di motivazione e per violazione dell'obbligo di motivazione rafforzata previsto in caso di contraddittorio preventivo

Se siano inerenti e quindi deducibili ai fini IRPEF e IRAP le spese per ristorazione in relazione alle quali le fatture manchino di alcuni elementi 

Se siano deducibilli le spese per parti meccaniche non abbinate alle certificazioni dei lavori eseguite e siano relative a beni non iscritti tra quelli ammortizzabili

Se per considerare l'atto sottoscritto sia sufficiente la firma di un funzionario appartenente alla terza area prrofessionale e delegato dal Direttore Provinciale","Se l'avviso di accertamento tributario sia illegittimo per carenza di motivazione, violando gli artt. 7 L. 212/2000 e 42 DPR 600/1973.

Se siano deducibilli spese risultanti da fatture che non riportano il soggetto fiscalmente beneficiario

Se siano deducibillii spese per parti meccaniche che non risultano abbinate alle prescritte certificazioni dei lavori eseguite e che si riferiscono a beni che non risultano nel registro dei beni ammortizzabilli

Se per considerare l'atto sottoscritto sia sufficiente la firma di un funzionario appartenente alla terza area prrofessionale (ex carriera direttiva) e delegato dal Direttore Provinciale di ruolo con formale delega di firma  ",4,4,4
Sentenza_V40_9206_2021.json,Se un soggetto che si dichiari imprenditore agricolo o coltivatore diretto in comune non montano abbia diritto all'esenzione da IMU per l'anno d'imposta 2014 ai sensi della normativa allora vigente,Se un soggetto che si dichiari imprenditore agricolo o coltivatore diretto in comune non montano abbia diritto all'esenzione da IMU per l'anno d'imposta 2014 ai sensi della normativa allora vigente,1,1,1
Sentenza_V43_3256_2021.json,"Se la notificazione di una intimazione di pagamento avvenuta nel 2020 per gli anni 2015 e 2016 sia tempestive
 
Se l’atto sottoscritto con firma meccanica sia da considerarsi validamente sottoscritto. 

Se rilevino ai fini dell’applicazione e della riscossione del tributo le variazioni non comunicate dal contribuente"," Se la notificazione di una intimazione di pagamento avvenuta nel 2020 per gli anni 2015 e 2016 sia tempestive.
 
 Se l’atto sottoscritto con firma meccanica sia da considerarsi validamente sottoscritto. 

Se rilevino ai fini dell’applicazione e della riscossione del tributo le variazioni non comunicate dal contribuente.
",3,3,3
Sentenza_V63_169_2023.json,"Se la notifica delle intimazioni di pagamenti via PEC sia nulla per erroneo utilizzo del dispositivo di firma usato per la sottoscrizione digitale

Se le intimazioni di pagamento siano nulle qualori non siano indicati i criteri con cui sono stati calcolati gli interessi

Se la notifica delle intimazioni di pagamenti via PEC sia nulla per non aver riportato la sequenza in bit che comprovi la veridicità di un duplicato","Se l'Amminnistrazione finanziaria debba provare l'esclusivo utilllizzo del dispoositivo di firma con cui si è firmato l'atto impugnato da parte dell suo titolare

Se i criteri di calcoo degli interressi dovuti in caso di rateazione debbano esssere indicati a pena di nullità dell'avviso di intimazione

",3,2,2
Sentenza_Z11_370_2021.json,Se l'accettazione di eredità con beneficio di inventario esclude la possibilità di esserre considerato legittimato passivo per i debiti tributari e le sanzioni del de cuius in relazione ai bene dell'asse ereditario,Se l'accettazione di eredità con beneficio di inventario esclude la possibilità di esserre considerato legittimato passivo per i debiti tributari e le sanzioni del de cuius in relazione ai bene dell'asse ereditario,1,1,1
Sentenza_Z29_1812_2023.json,"Se un appello in cui ci si duole dell’erronea ricostruzione dei fatti da parte del giudice di primo grado e si chiede al giudice di appello di valutare ex novo le prove già raccolte comporti di per sé l’inammissibilità dell’appello

Se la sentenza di primo grado sia sufficientemente motivata 

Se l'atto impugnato sia sufficientemente motivato 

Se in caso di contestazione di un credito utilizzato in compensazione, esso debba essere assoggettato alla riscossione frazionata oppure essere iscritto a ruolo per l’intero importo 

Se l'atto impositivo, motivato per relationem, presentasse una motivazione sufficiente 

Se nel caso di specie fosse dovuto un aggio per la riscossione 

Se il ruolo non sottoscritto debba essere considerato nullo 

Se la cartella non sottoscritta dal responsabile del procedimento sia legittima 

Se l’art. 50, comma 2, del D.P.R. n. 602/1973 debba essere interpretato nel senso che, qualora tra avviso di accertamento e cartella decorra meno di un anno, debba essere inviata un’intimazione di pagamento","Se sia ammissibile l'appello che non introduce nessuna nuova argomentazione

Se la sentenza di primo grado sia affetta da difetto di motivazione dal punto di vista della sufficienza

Se e a quali coondizioni ci sia difetto di motivazione dell'atto impugnato

Se l'avviso di recupero relativo a crediti inesistentii contestati con un avvviso di accertamento confermato in primo grado e in appello sia stato legittimamente iscritto a ruolo per l'intera somma e non frazionato

Se e a quali condizioni la motivazione per relationem sia da considerare inammissibile

Se il ruolo e la cartella di pagamento debbano essere sottoscritti per essere validi",9,6,6
Sentenza_Z29_2235_2023.json,Se la mancata allegazione degli atti impugnati al ricorso lo renda inammissibile ,Se sia ammissibile un ricorso cui non siano allegati gli atti impugnati,1,1,1
Sentenza_Z55_4587_2022.json,"Se la notificazione dell'atto prodromico alla cartella nel caso di specie sia avvenuta correttamente 

Se la sospensione delle attività di notifica di nuove cartelle durante la pandemia di Covid-19 comporti l’interruzione o la proroga del termine triennale di prescrizione o decadenza dei crediti tributari","Quali siano le condizioni per cui si intende provata la avvenuta notifica dell'avviso di accertamento con conoseguente decorrenza dei termini per impugnare

Se la notifica della cartella di pagamento relativa a un avviso del 10 settembre 2018, effettuata il 15 febbraio 2022 sia in termini alla luce della disciplina COVID",2,2,2
